run,seed,generation,best_accuracy_percent,best_fmeasure,tree_size,expression,expression_with_column_names
8,486,26,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,27,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,28,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,29,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,30,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,31,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,32,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,33,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,34,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,35,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,36,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,37,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,38,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,39,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,40,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,41,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,42,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,43,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,44,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,45,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,46,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,47,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,48,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,49,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,50,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,51,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,52,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,53,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,54,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,55,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,56,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,57,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,58,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,59,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,60,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,61,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,62,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,63,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,64,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,65,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,66,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,67,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,68,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,69,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,70,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,71,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,72,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,73,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,74,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,75,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,76,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,77,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,78,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,79,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
